timestamp,product_id,price,best_bid,best_ask,mid_price,ema_price,ema_mid
2025-06-18T10:36:02.628242Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:02.702422Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:02.726961Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:03.202052Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:03.214588Z,BTC-USD,104484,104484,104484,104484,104484,104484
2025-06-18T10:36:03.351960Z,BTC-USD,104484,104484,104492,104488,104484,104484
2025-06-18T10:36:03.351960Z,BTC-USD,104492,104484,104492,104488,104485,104485
2025-06-18T10:36:03.351960Z,BTC-USD,104492,104484,104492,104488,104485,104485
2025-06-18T10:36:03.411993Z,BTC-USD,104492,104487,104492,104490,104485,104485
2025-06-18T10:36:03.577101Z,BTC-USD,104487,104487,104487,104487,104485,104485
2025-06-18T10:36:03.577101Z,BTC-USD,104487,104487,104487,104487,104485,104485
2025-06-18T10:36:03.909902Z,BTC-USD,104489,104489,104494,104491,104485,104485
2025-06-18T10:36:04.190653Z,BTC-USD,104490,104482,104490,104486,104486,104485
2025-06-18T10:36:04.389688Z,BTC-USD,104485,104485,104489,104487,104486,104485
2025-06-18T10:36:04.389688Z,BTC-USD,104485,104485,104489,104487,104486,104485
2025-06-18T10:36:04.623975Z,BTC-USD,104490,104486,104490,104488,104486,104486
2025-06-18T10:36:04.674805Z,BTC-USD,104486,104486,104490,104488,104486,104486
2025-06-18T10:36:04.974401Z,BTC-USD,104488,104488,104488,104488,104486,104486
2025-06-18T10:36:05.047249Z,BTC-USD,104488,104488,104488,104488,104486,104486
2025-06-18T10:36:05.226683Z,BTC-USD,104486,104486,104486,104486,104486,104486
2025-06-18T10:36:05.579078Z,BTC-USD,104484,104484,104484,104484,104486,104486
2025-06-18T10:36:05.782137Z,BTC-USD,104484,104484,104484,104484,104486,104486
2025-06-18T10:36:05.866075Z,BTC-USD,104486,104486,104489,104487,104486,104486
2025-06-18T10:36:05.866075Z,BTC-USD,104486,104486,104489,104487,104486,104486
2025-06-18T10:36:05.866075Z,BTC-USD,104486,104486,104489,104487,104486,104486
2025-06-18T10:36:05.894825Z,BTC-USD,104489,104484,104489,104486,104486,104486
2025-06-18T10:36:05.894825Z,BTC-USD,104489,104484,104489,104486,104486,104486
2025-06-18T10:36:05.894825Z,BTC-USD,104489,104484,104489,104486,104486,104486
2025-06-18T10:36:05.894825Z,BTC-USD,104489,104484,104489,104486,104486,104486
2025-06-18T10:36:06.416285Z,BTC-USD,104486,104486,104490,104488,104486,104486
2025-06-18T10:36:06.416285Z,BTC-USD,104486,104486,104490,104488,104486,104486
2025-06-18T10:36:06.416285Z,BTC-USD,104486,104486,104490,104488,104486,104486
2025-06-18T10:36:06.604207Z,BTC-USD,104494,104483,104494,104489,104486,104486
2025-06-18T10:36:06.604207Z,BTC-USD,104494,104483,104494,104489,104487,104486
2025-06-18T10:36:07.224497Z,BTC-USD,104484,104484,104490,104487,104487,104486
2025-06-18T10:36:07.224497Z,BTC-USD,104484,104484,104490,104487,104487,104486
2025-06-18T10:36:07.224497Z,BTC-USD,104484,104483,104490,104487,104486,104486
2025-06-18T10:36:07.224497Z,BTC-USD,104483,104483,104490,104487,104486,104486
2025-06-18T10:36:07.227869Z,BTC-USD,104490,104483,104490,104487,104486,104486
2025-06-18T10:36:07.405691Z,BTC-USD,104491,104487,104491,104489,104487,104486
2025-06-18T10:36:07.405691Z,BTC-USD,104491,104487,104491,104489,104487,104487
2025-06-18T10:36:07.405691Z,BTC-USD,104491,104487,104491,104489,104487,104487
2025-06-18T10:36:07.405691Z,BTC-USD,104491,104487,104491,104489,104487,104487
2025-06-18T10:36:07.446636Z,BTC-USD,104494,104484,104494,104489,104487,104487
2025-06-18T10:36:07.613398Z,BTC-USD,104493,104485,104493,104489,104488,104487
2025-06-18T10:36:07.613398Z,BTC-USD,104493,104485,104493,104489,104488,104487
2025-06-18T10:36:08.151577Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.305680Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.315595Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.315595Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.334111Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.426234Z,BTC-USD,104487,104487,104487,104487,104488,104487
2025-06-18T10:36:08.725323Z,BTC-USD,104484,104484,104484,104484,104488,104487
2025-06-18T10:36:08.725323Z,BTC-USD,104484,104484,104484,104484,104487,104487
2025-06-18T10:36:08.858367Z,BTC-USD,104484,104483,104484,104483,104487,104487
2025-06-18T10:36:08.858367Z,BTC-USD,104483,104483,104484,104483,104487,104487
2025-06-18T10:36:09.056897Z,BTC-USD,104491,104488,104491,104489,104487,104487
2025-06-18T10:36:09.056897Z,BTC-USD,104491,104488,104492,104490,104487,104487
2025-06-18T10:36:09.056897Z,BTC-USD,104492,104488,104492,104490,104488,104487
2025-06-18T10:36:09.295835Z,BTC-USD,104492,104487,104492,104489,104488,104487
2025-06-18T10:36:09.695843Z,BTC-USD,104486,104486,104490,104488,104488,104487
2025-06-18T10:36:09.869518Z,BTC-USD,104490,104482,104490,104486,104488,104487
